country,value,uncertainty,latitude,longitude,total,average,Access to financial assets,Access to justice,Access to land assets,Access to non-land assets,Child marriage eradication,Female genital mutilation eradication,Freedom of movement,Household responsibilities,Political voice,Violence against women eradication,Workplace rights
Poland,69.8,0.2857142857,56.0298,3.5118,602.9,75.3625,95.7,39,,,98.8,,66.4,65.6,69.7,90.3,77.4
Iceland,65.9,0.4285714286,57.1355,-33.8954,602.85,86.12142857,100,55.8,,,99.9,,78.3,76.6,94.7,,97.55
Serbia,63.6,0.2857142857,44.8176,15.2633,597.25,74.65625,89.8,49.6,,,96.2,,67.4,60.95,64.2,98,71.1
Czechia,50.02,0.2857142857,48.0755,-1.4378,597.25,74.65625,93.4,55.9,,,99.8,,76.7,59,50.3,97.4,64.75
Italy,53.7,0.3571428571,35.9028,-3.7964,596.95,74.61875,97.1,35.8,,,99.8,,65.6,45.9,79.9,93.9,78.95
Indonesia,54.6,0.1428571429,-3.0152,64.3661,595.1,59.51,51.7,74.8,41.4,49.6,90.7,,72.9,75.65,27.8,79.8,30.75
Greece,56.1,0.2857142857,31.5838,11.7275,594.45,74.30625,93.4,47.3,,,98.1,,53,66.2,72.9,95,68.55
Montenegro,63.7,0.2857142857,45.11,9.2636,584.9,73.1125,67.6,51,,,98.9,,79.8,54.3,70.4,98,64.9
Cyprus,47.44,0.2857142857,30.1856,17.3823,580.95,72.61875,92.7,43.9,,,96.8,,60.9,57.1,71.3,92.2,66.05
Hungary,57.3,0.2857142857,49.4979,20.0402,580.85,72.60625,86.9,55.2,,,99.2,,61.2,48.5,67.1,88.5,74.25
Armenia,54.33,0.1428571429,38.2,28.4991,578,57.8,49.1,38.1,15.7,48.5,95.2,,81.6,56.7,47.9,96.3,48.9
Tanzania,53.9,0.2142857143,4.3875,10.3228,577.7,57.77,15.7,88.4,33.7,37.9,77,92.5,62.3,,56.1,41,73.1
Albania,17.75,0.1428571429,32.3275,7.8189,573.7,57.37,45.7,40.7,10.5,23.2,93.3,,65.1,55.5,75.9,95,68.8
Lithuania,53.4,0.2857142857,53.0892,8.3798,571.5,71.4375,90.4,49.7,,,99.4,,65,43.65,55.4,98.6,69.35
India,49.5,0.1428571429,15.6139,43.209,565.4,56.54,77.5,83,33.8,46.5,83.8,,58.5,40.1,41.3,59,41.9
Thailand,62.4,0.2857142857,10.3152,53.3661,564.45,70.55625,92.1,52.3,,,90.4,,54.8,65.2,53.9,92,63.75
Ghana,54.6,0,5.6037,-19.187,563.25,51.20454545,31.5,60.5,21.9,18.9,92.7,96,62.7,56.4,18.7,63,40.95
Guatemala,56.8,0.1428571429,34.6349,-83.5069,557.45,55.745,41,55.1,14.9,30.8,82,,46.7,51.35,79.2,76.5,79.9
Romania,57.5,0.2857142857,42.1268,20.7025,555.35,69.41875,65.7,50.3,,,93.2,,62.6,70.5,59.7,91.5,61.85
Brazil,44.15,0.2857142857,-7.7801,-46.9292,554.35,69.29375,80.5,42.7,,,87.4,,40.2,54.3,81.4,88.3,79.55
Slovak_Republic,56.9,0.2857142857,50.869,12.599,554.15,69.26875,94,31,,,98.9,,67.6,60.65,51,94.5,56.5
North_Macedonia,56.4,0.2857142857,38.6086,11.7453,552.2,69.025,79.9,36.1,,,94.4,,68.1,68.45,53.9,89,62.35
South_Africa,55.9,0.2142857143,-17.746,-4.1881,551.8,61.31111111,84.9,59.9,,27.7,96.9,,27.9,55.2,46.6,93,59.7
Trinidad_and_Tobago,55.5,0.2857142857,14.6515,-56.2225,544.2,68.025,73.6,29.9,,,95.6,,45.7,56.65,74.9,92,75.85
Argentina,6.86,0.2857142857,-20.6037,-57.3816,541.6,67.7,66.8,24.9,,,92.3,,39.7,71.15,77.3,85.9,83.55
Bulgaria,51.24,0.2857142857,36.6977,17.3219,540.35,67.54375,84.3,32.4,,,98.2,,58.1,65.2,54.6,81.7,65.85
Bosnia_and_Herzegovina,45.64,0.2857142857,34.3486,5.2564,540.35,67.54375,70.4,33.9,,,89.8,,61.1,52.05,67.9,99,66.2
Zimbabwe,46.6,0.1428571429,-12.5292,4.0522,538.5,53.85,23.9,70.8,36,37.4,78.8,,34.9,57.2,55,82.1,62.4
Colombia,48.02,0.1428571429,2.711,-64.0721,538.25,53.825,51.7,24.6,10.9,26.6,83.6,,42.2,53.95,75.9,87.7,81.1
Maldives,53.3,0.2142857143,0.1755,35.5093,530.15,58.90555556,74.2,,,17.5,96.2,76.5,44.1,56.3,49,65,51.35
